X	Y
0	162.000
1	162.000
2	164.000
3	165.000
4	163.000
5	163.000
6	164.000
7	165.000
8	164.000
9	164.000
10	165.000
11	166.000
12	165.000
13	165.000
14	165.000
15	165.000
16	165.000
17	166.000
18	166.000
19	166.000
20	166.000
21	165.000
22	165.000
23	165.000
24	166.000
25	166.000
26	166.000
27	166.000
28	167.000
29	169.000
30	168.000
31	169.000
32	172.000
33	173.000
34	172.000
35	173.000
36	174.000
37	174.000
38	175.000
39	176.000
40	176.000
41	178.000
42	181.000
43	182.000
44	184.000
45	186.000
46	186.000
47	185.000
48	186.000
49	191.000
50	194.000
51	195.000
52	196.000
53	199.000
54	202.000
55	204.000
56	204.000
57	206.000
58	209.000
59	208.000
60	208.000
61	213.000
62	218.000
63	217.000
64	217.000
65	216.000
66	215.000
67	215.000
68	216.000
69	217.000
70	215.000
71	213.000
72	210.000
73	209.000
74	206.000
75	204.000
76	203.000
77	202.000
78	199.000
79	194.000
80	194.000
81	190.000
82	186.000
83	185.000
84	181.000
85	177.000
86	175.000
87	173.000
88	172.000
89	171.000
90	168.000
91	166.000
92	165.000
93	163.000
94	163.000
95	163.000
96	161.000
97	160.000
98	160.000
99	158.000
100	158.000
101	160.000
102	158.000
103	158.000
104	159.000
105	158.000
106	157.000
107	158.000
108	158.000
109	158.000
110	158.000
111	157.000
112	158.000
113	158.000
114	158.000
115	158.000
116	157.000
117	156.000
118	156.000
119	157.000
120	156.000
121	155.000
122	155.000
123	154.000
124	154.000
125	154.000
126	154.000
127	153.000
128	152.000
129	153.000
130	153.000
131	151.000
